min,median,mean,max,stddev,config,bench
sksl_compiler_baseline: 15264 bytes
sksl_compiler_gpu: 411696 bytes
sksl_compiler_graphite: 1177152 bytes
sksl_compiler_compute: 20320 bytes
sksl_binary_size_gpu: 22605 bytes
sksl_binary_size_graphite: 29961 bytes
sksl_binary_size_compute: 507 bytes
0.11189,0.118029,0.11951,0.130271,4.97467,grmtl,shadermaskfilter_bitmap_80
0.083154,0.0877931,0.0872875,0.0916563,2.90306,grmtl,shadermaskfilter_bitmap_ff
0.0311469,0.0314758,0.0314747,0.0320214,0.839803,grmtl,rotated_rects_bw_persp_shader_opaque_srcover
0.0272863,0.0275935,0.0274874,0.027609,0.478501,grmtl,rotated_rects_bw_persp_same_opaque_srcover
0.0317798,0.0327341,0.0326492,0.0341623,2.4042,grmtl,rotated_rects_aa_persp_shader_opaque_srcover
0.0272767,0.0280325,0.0281705,0.0305173,3.4343,grmtl,rotated_rects_aa_persp_same_opaque_srcover
0.0316667,0.032148,0.0321775,0.0331648,1.47684,grmtl,rotated_rects_bw_shader_opaque_darken
0.0285144,0.0290007,0.0291033,0.0298551,1.54187,grmtl,rotated_rects_bw_alternating_transparent_and_opaque_darken
0.0294652,0.0314906,0.0316141,0.0351751,5.83659,grmtl,rotated_rects_bw_changing_transparent_darken
0.0288013,0.0291794,0.0291225,0.0294025,0.737972,grmtl,rotated_rects_bw_changing_opaque_darken
0.0280457,0.0284576,0.0284496,0.0290364,1.05645,grmtl,rotated_rects_bw_same_transparent_darken
0.0278278,0.0280979,0.0281359,0.0286359,0.937558,grmtl,rotated_rects_bw_same_opaque_darken
0.0318032,0.0322165,0.0321612,0.0325477,0.772794,grmtl,rotated_rects_aa_shader_opaque_darken
0.028995,0.0292095,0.029178,0.0294672,0.508662,grmtl,rotated_rects_aa_alternating_transparent_and_opaque_darken
0.0287162,0.0291487,0.0290881,0.0294054,0.716141,grmtl,rotated_rects_aa_changing_transparent_darken
0.0286262,0.0290409,0.0289282,0.0291556,0.688607,grmtl,rotated_rects_aa_changing_opaque_darken
0.0278282,0.0280556,0.0280428,0.028188,0.39581,grmtl,rotated_rects_aa_same_transparent_darken
0.0280891,0.0283711,0.0283263,0.0286144,0.628105,grmtl,rotated_rects_aa_same_opaque_darken
0.0312974,0.0316972,0.0316521,0.0318918,0.503106,grmtl,rotated_rects_bw_shader_opaque_src
0.0284186,0.02865,0.0286905,0.0291707,0.8306,grmtl,rotated_rects_bw_alternating_transparent_and_opaque_src
0.0283956,0.0287004,0.0287712,0.0291199,0.860331,grmtl,rotated_rects_bw_changing_transparent_src
0.0282893,0.0287177,0.0286803,0.029025,0.729645,grmtl,rotated_rects_bw_changing_opaque_src
0.0276946,0.0279114,0.0279685,0.0284263,0.90527,grmtl,rotated_rects_bw_same_transparent_src
0.028312,0.028929,0.029085,0.030312,2.44912,grmtl,rotated_rects_bw_same_opaque_src
0.0314136,0.0316518,0.031716,0.03216,0.846013,grmtl,rotated_rects_aa_shader_opaque_src
0.0283267,0.02866,0.0286937,0.0291529,0.97803,grmtl,rotated_rects_aa_alternating_transparent_and_opaque_src
0.0282528,0.0285999,0.0285865,0.0289167,0.640779,grmtl,rotated_rects_aa_changing_transparent_src
0.0283093,0.0286974,0.0286369,0.0289419,0.676772,grmtl,rotated_rects_aa_changing_opaque_src
0.0278857,0.0281839,0.0282027,0.0287167,1.02538,grmtl,rotated_rects_aa_same_transparent_src
0.0278397,0.0282598,0.0282688,0.0286948,0.818344,grmtl,rotated_rects_aa_same_opaque_src
0.0313799,0.0320684,0.0318744,0.0321183,0.836759,grmtl,rotated_rects_bw_shader_opaque_srcover
0.0282533,0.0288762,0.0288939,0.0296636,1.39479,grmtl,rotated_rects_bw_alternating_transparent_and_opaque_srcover
0.0284716,0.0289472,0.0289064,0.0293483,0.951958,grmtl,rotated_rects_bw_changing_transparent_srcover
0.0283258,0.028599,0.0285841,0.0288831,0.633676,grmtl,rotated_rects_bw_changing_opaque_srcover
0.027605,0.0278434,0.0278525,0.0280517,0.504308,grmtl,rotated_rects_bw_same_transparent_srcover
0.0277202,0.0279,0.0279276,0.0283441,0.724899,grmtl,rotated_rects_bw_same_opaque_srcover
0.0314381,0.0318212,0.0318,0.0322632,0.81897,grmtl,rotated_rects_aa_shader_opaque_srcover
0.0284741,0.0287383,0.0287866,0.0293871,0.98245,grmtl,rotated_rects_aa_alternating_transparent_and_opaque_srcover
0.0289003,0.0291763,0.0292304,0.0299633,1.02909,grmtl,rotated_rects_aa_changing_transparent_srcover
0.028907,0.0293234,0.0292638,0.0294297,0.603761,grmtl,rotated_rects_aa_changing_opaque_srcover
0.0282603,0.0284808,0.028527,0.0289972,0.859083,grmtl,rotated_rects_aa_same_transparent_srcover
0.0281266,0.0285187,0.0285411,0.0290597,0.902557,grmtl,rotated_rects_aa_same_opaque_srcover
0.0164579,0.0165731,0.0166247,0.0170163,1.21732,grmtl,repeatTile_RGB_565_X
0.0177838,0.0179885,0.0180082,0.0183493,0.884351,grmtl,repeatTile_RGBA_8888_A
0.0160783,0.0165359,0.0165247,0.0169086,1.41012,grmtl,repeatTile_RGBA_8888_X
14.9214,15.4833,16.6388,26.1607,20.4789,grmtl,maskshader
11.3555,11.5362,11.5415,11.7653,1.04905,grmtl,maskcolor
11.352,11.5614,12.9258,23.4408,29.0522,grmtl,maskblack
11.2275,11.2865,11.3022,11.4597,0.650879,grmtl,maskopaque
0.0220347,0.0222023,0.022192,0.0223439,0.437892,grmtl,rects_1_bw_persp_localcoords
0.0221222,0.0222744,0.0223117,0.0228974,0.994256,grmtl,rects_1_aa_persp_localcoords
0.019262,0.019443,0.0194543,0.0199555,0.996752,grmtl,rects_1_bw_persp
0.0192343,0.019438,0.0194292,0.0198582,0.91765,grmtl,rects_1_aa_persp
0.016139,0.0164352,0.0163752,0.0166082,0.96823,grmtl,rects_1_bw_localcoords
0.0176592,0.0178328,0.0178085,0.0179862,0.535185,grmtl,rects_1_aa_localcoords
0.0147436,0.0149613,0.014927,0.0152821,1.0649,grmtl,transparent_rects_1_aa
0.0150218,0.0152751,0.0160776,0.0220402,13.4152,grmtl,srcmode_rects_1_aa
12.6086,12.7382,12.8237,13.6702,2.39281,grmtl,polygon
6.26554,6.33654,6.33755,6.41037,0.75904,grmtl,lines
10.945,11.08,11.0807,11.2589,0.924165,grmtl,points
2988.23,3001.33,3008.35,3108.99,1.19305,grmtl,hair_points_mode_SrcOver_alpha_1
2985.49,3014.91,3020.76,3064.75,0.838499,grmtl,hair_points_mode_SrcOver_alpha_0.5
0.0266855,0.027759,0.027595,0.0286195,2.05627,grmtl,rrects_3_stroke_4_aa
0.0147873,0.0149111,0.0151188,0.015895,2.5635,grmtl,rrects_3_aa
0.027922,0.0291653,0.0297746,0.033309,6.09525,grmtl,rrects_1_stroke_4_aa
0.0152764,0.0161108,0.0160152,0.0163603,2.01318,grmtl,rrects_1_aa
0.0240949,0.0254464,0.0252628,0.0261714,2.70371,grmtl,ovals_3_stroke_4_aa
0.031118,0.0357569,0.0356326,0.0400104,6.44899,grmtl,ovals_1_stroke_4_aa
0.0149459,0.0154564,0.0153472,0.0157033,1.77276,grmtl,ovals_3_aa
0.0153016,0.0160359,0.0159554,0.016531,2.07516,grmtl,ovals_1_aa
0.015382,0.0161259,0.0159383,0.016566,2.56301,grmtl,rects_3_stroke_4_bw
0.0133929,0.0137488,0.0136462,0.013862,1.18481,grmtl,rects_3_bw
0.0158477,0.0162375,0.0161795,0.0166504,1.58412,grmtl,rects_1_stroke_4_bw
0.0132995,0.0137317,0.0137021,0.0140932,1.8903,grmtl,rects_1_bw
0.0144327,0.0150939,0.0150026,0.0155678,2.23904,grmtl,rects_3_stroke_4_aa
0.0142693,0.0148078,0.0148116,0.015562,2.6505,grmtl,rects_3_aa
0.0145507,0.0147287,0.0147793,0.0151908,1.218,grmtl,rects_1_stroke_4_aa
0.0146743,0.0149297,0.0150248,0.0156992,2.35857,grmtl,rects_1_aa
8.81875,14.6731,13.7116,24.6375,34.3269,grmtl,readpix_um_bgra_srgb
0.488583,0.528333,0.929272,2.62628,92.656,grmtl,readpix_pm_bgra_srgb
8.69946,8.90937,8.96747,9.31629,2.39558,grmtl,readpix_um_bgra_null
0.469658,0.512108,0.52216,0.579212,7.72902,grmtl,readpix_pm_bgra_null
8.57008,8.73312,8.77914,9.13921,1.9437,grmtl,readpix_um_rgba_srgb
0.310906,0.327094,0.324149,0.341042,3.11423,grmtl,readpix_pm_rgba_srgb
8.59371,8.80492,8.7976,9.11942,1.80665,grmtl,readpix_um_rgba_null
0.29325,0.302414,0.303852,0.324967,3.27017,grmtl,readpix_pm_rgba_null
0.00321258,0.00323152,0.0032339,0.00327177,0.575408,grmtl,concat
2655.75,2658.42,2662.77,2683.96,0.349807,grmtl,quick_reject
2.43977,2.52098,2.55363,2.87137,4.70532,grmtl,premul_and_unpremul_alpha_BGRA_8888
2.41594,2.53085,2.54799,2.77633,3.82456,grmtl,premul_and_unpremul_alpha_RGBA_8888
137.563,142.81,146.383,182.316,8.97497,grmtl,poly_utils_icecream_t
832.936,845.965,855.966,910.388,3.07289,grmtl,poly_utils_icecream_o
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.0784171,0.0848339,0.0843127,0.0914171,4.85581,grmtl,poly_utils_icecream_i
136.787,137.068,137.429,140.404,0.834737,grmtl,poly_utils_icecream_s
2.59967e-05,2.61647e-05,2.61759e-05,2.66911e-05,0.780962,grmtl,poly_utils_icecream_c
137.452,137.585,137.586,137.762,0.0913404,grmtl,poly_utils_notch_t
748.662,750.342,750.832,755.171,0.335329,grmtl,poly_utils_notch_o
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.0595832,0.172459,0.124988,0.202375,54.6054,grmtl,poly_utils_notch_i
136.859,138.002,138.268,140.816,0.862864,grmtl,poly_utils_notch_s
0.0108448,0.0109357,0.010955,0.0110859,0.688481,grmtl,poly_utils_notch_c
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.04775,0.085042,0.0835501,0.0982089,16.3636,grmtl,poly_utils_intersecting_t
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.0469999,0.155583,0.105421,0.174625,58.3061,grmtl,poly_utils_intersecting_o
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.0406251,0.0816669,0.0821168,0.156083,37.9583,grmtl,poly_utils_intersecting_i
0.000141838,0.000142763,0.00014283,0.000144229,0.514589,grmtl,poly_utils_intersecting_s
3.82839e-05,3.86023e-05,3.86015e-05,3.90225e-05,0.6131,grmtl,poly_utils_intersecting_c
0.0837882,0.084459,0.0845338,0.0854042,0.602273,grmtl,poly_utils_circle_t
